Application,Tool,Partition Count,Variant,Granularity,Database Entropy,Use Case Entropy,M2M Use Case Entropy,Sarah BCP
demo,mosaic,n,default,method_level,43.720535423015924,100.0,80.0,80.0
jpetstore,mosaic,n,default,method_level,96.24532325944746,58.754073388677355,32.67132048600136,40.19212096077622
partsunlimited,mosaic,n,default,method_level,78.05766197727984,49.07005344780069,21.780880324000908,29.30664511388542
spring-petclinic,mosaic,n,default,method_level,100.0,100.0,43.56176064800182,59.79359831222559
demo,tomicroservices,4,functionality,method_level,44.39075563828768,68.39306548761722,66.1370563888011,72.46459677487127
jpetstore,tomicroservices,3,functionality,method_level,59.737262459570715,95.0904559338328,57.67132048600136,61.189404571933494
partsunlimited,tomicroservices,5,functionality,method_level,2.750262778935275,79.22870160634575,80.0,80.0
spring-petclinic,tomicroservices,3,functionality,method_level,68.08180915532402,55.51611038488947,33.333333333333336,33.502545580940826
jpetstore,tomicroservices_p1,4,functionality,method_level,19.505644185754033,0.0,0.0,16.752673241012637
spring-petclinic,tomicroservices_p1,4,functionality,method_level,14.28571428571429,0.0,0.0,0.0
jpetstore,tomicroservices_p2,10,functionality,method_level,13.919488759543686,0.0,9.205584583201642,31.00774510799823
spring-petclinic,tomicroservices_p2,12,functionality,method_level,14.28571428571429,0.0,24.337987152668028,26.24943387730835
jpetstore,tomicroservices_p3,5,functionality,method_level,39.079554907876435,47.46150873847482,40.0,65.44404979655292
spring-petclinic,tomicroservices_p3,5,functionality,method_level,59.30449203247976,12.680015291953406,26.137056388801096,29.76822671152737
demo,mono2micro,4,natural,method_level,85.94162138452978,65.7266601732747,80.0,82.98615888662395
demo,mono2micro,4,natural,class_level,84.08714579262968,60.37052362689393,80.0,82.98615888662395
jpetstore,mono2micro,3,natural,method_level,100.0,100.0,0.0,14.756686424031129
jpetstore,mono2micro,3,natural,class_level,100.0,100.0,0.0,14.756686424031129
partsunlimited,mono2micro,5,natural,method_level,33.89542014258371,29.548033718612775,25.0,27.26936635132098
partsunlimited,mono2micro,5,natural,class_level,32.950602434610765,20.921114016864216,25.0,27.26936635132098
spring-petclinic,mono2micro,3,natural,method_level,66.57925706219007,34.74387711053375,33.333333333333336,33.333333333333336
spring-petclinic,mono2micro,3,natural,class_level,64.93811945582321,28.547439616787585,33.333333333333336,33.333333333333336
demo,tomicroservices,4,overhead,method_level,30.609946057588257,71.41335628019677,52.27411277760219,58.60165316367236
jpetstore,tomicroservices,3,overhead,method_level,79.87794160956246,93.29354707010438,57.67132048600136,61.07755188016569
partsunlimited,tomicroservices,5,overhead,method_level,12.293377865508326,81.91685312012275,46.13705638880109,48.75329710762383
spring-petclinic,tomicroservices,3,overhead,method_level,68.50925919570165,49.169835315389754,10.228427314668487,23.973904516533917
jpetstore,tomicroservices_p1,4,overhead,method_level,19.505644185754033,0.0,0.0,16.752673241012637
spring-petclinic,tomicroservices_p1,4,overhead,method_level,14.28571428571429,0.0,0.0,0.0
jpetstore,tomicroservices_p2,8,overhead,method_level,10.700369083544592,0.0,11.506980729002048,27.82545205804876
spring-petclinic,tomicroservices_p2,12,overhead,method_level,14.996135153810929,0.0,16.004653819334703,16.891007761267186
jpetstore,tomicroservices_p3,5,overhead,method_level,41.28683443318542,28.811045564006875,40.0,55.02228081126634
spring-petclinic,tomicroservices_p3,5,overhead,method_level,59.30449203247976,3.7828610568395704,0.0,1.9855127526252403
jpetstore,tomicroservices_p1,4,reuse,method_level,19.505644185754033,0.0,0.0,16.752673241012637
spring-petclinic,tomicroservices_p1,4,reuse,method_level,14.28571428571429,0.0,0.0,0.0
jpetstore,tomicroservices_p2,8,reuse,method_level,10.700369083544592,0.0,11.506980729002048,27.82545205804876
spring-petclinic,tomicroservices_p2,12,reuse,method_level,14.996135153810929,0.0,24.337987152668028,25.224341094600522
jpetstore,tomicroservices_p3,5,reuse,method_level,41.28683443318542,47.46150873847482,40.0,62.96177647044953
spring-petclinic,tomicroservices_p3,5,reuse,method_level,59.30449203247976,3.7828610568395704,0.0,1.9855127526252403
